invalid_loss_value,max_memory_allocated,final_batch_size,experiment,project,linear_probing,curve_length
False,2983489536,8,100116332291036902_tfds-icgen_imagenette_6_v1,AFT-ZAP-00,False,50
False,787407872,128,101783061514174440_tfds-icgen_imagenette_4_v1,AFT-ZAP-00,True,50
False,3699511808,64,12997204135175206_tfds-icgen_cassava_15_v1,AFT-ZAP-00,True,50
False,10383510016,8,14791967612148920_tfds-icgen_cycle_gan_horse2zebra_11_v1,AFT-ZAP-00,False,50
False,1919140352,256,113941376774692755_tfds-icgen_deep_weeds_3_v1,AFT-ZAP-00,True,50
False,10114334208,32,155642971052396950_tfds-icgen_eurosat_rgb_1_v1,AFT-ZAP-00,False,1
False,3880023552,128,117988806007701444_tfds-icgen_cycle_gan_ukiyoe2photo_7_v1,AFT-ZAP-00,True,50
False,278013952,32,110323566719389286_tfds-icgen_uc_merced_1_v1,AFT-ZAP-00,False,50
False,279882240,4,109217793216590732_tfds-icgen_oxford_iiit_pet_10_v1,AFT-ZAP-00,True,50
False,10301758464,8,121590201644820250_tfds-icgen_oxford_iiit_pet_13_v1,AFT-ZAP-00,False,1
False,10367539200,4,150375640462258245_tfds-icgen_cycle_gan_iphone2dslr_flower_2_v1,AFT-ZAP-00,False,50
False,596593664,16,17305152499777777_tfds-icgen_malaria_15_v1,AFT-ZAP-00,True,50
False,5275132928,32,111593564008671447_tfds-icgen_cifar100_6_v1,AFT-ZAP-00,False,50
False,10391057408,32,138801302203536465_tfds-icgen_cycle_gan_apple2orange_12_v1,AFT-ZAP-00,False,1
False,410095104,8,13347740843377618_tfds-icgen_mnist_13_v1,AFT-ZAP-00,False,50
False,952805376,2,12887130435484122_tfds-icgen_cycle_gan_apple2orange_15_v1,AFT-ZAP-00,True,50
False,10354733056,32,11091442148094418_tfds-icgen_cats_vs_dogs_7_v1,AFT-ZAP-00,False,50
False,1965292032,64,12514880383954984_tfds-icgen_cassava_13_v1,AFT-ZAP-00,False,50
False,8567846400,4,1301586326647851_tfds-icgen_cycle_gan_ukiyoe2photo_5_v1,AFT-ZAP-00,False,50
False,8897236480,8,12570975550894832_tfds-icgen_visual_domain_decathlon_dtd_13_v1,AFT-ZAP-00,False,1
False,6777068032,32,151698406315384629_tfds-icgen_imagenette_9_v1,AFT-ZAP-00,False,50
False,5258013696,2,16915651770942450_tfds-icgen_cars196_4_v1,AFT-ZAP-00,True,50
False,9578758656,256,115639133640033040_tfds-icgen_rock_paper_scissors_13_v1,AFT-ZAP-00,False,50
